43216.54167,1.915
43216.55208,1.917
43216.5625,1.922
43216.57292,1.918
43216.58333,1.921
43216.59375,1.916
43216.60417,1.921
43216.61458,1.916
43216.625,1.922
43216.63542,1.912
43216.64583,1.915
43216.65625,1.921
43216.66667,1.924
43216.67708,1.913
43216.6875,1.926
43216.69792,1.918
43216.70833,1.913
43216.71875,1.911
43216.72917,1.91
43216.73958,1.919
43216.75,1.922
43216.76042,1.915
43216.77083,1.914
43216.78125,1.917
43216.79167,1.93
43216.80208,1.919
43216.8125,1.925
43216.82292,1.923
43216.83333,1.926
43216.84375,1.925
43216.85417,1.922
43216.86458,1.918
43216.875,1.922
43216.88542,1.924
43216.89583,1.921
43216.90625,1.922
43216.91667,1.924
43216.92708,1.914
43216.9375,1.928
43216.94792,1.914
43216.95833,1.922
43216.96875,1.923
43216.97917,1.923
43216.98958,1.919
43217,1.918
43217.01042,1.919
43217.02083,1.917
43217.03125,1.917
43217.04167,1.921
43217.05208,1.923
43217.0625,1.918
43217.07292,1.924
43217.08333,1.921
43217.09375,1.924
43217.10417,1.921
43217.11458,1.916
43217.125,1.922
43217.13542,1.928
43217.14583,1.92
43217.15625,1.918
43217.16667,1.924
43217.17708,1.921
43217.1875,1.924
43217.19792,1.923
43217.20833,1.919
43217.21875,1.922
43217.22917,1.918
43217.23958,1.921
43217.25,1.924
43217.26042,1.919
43217.27083,1.924
43217.28125,1.918
43217.29167,1.922
43217.30208,1.917
43217.3125,1.917
43217.32292,1.921
43217.33333,1.921
43217.34375,1.923
43217.35417,1.917
43217.36458,1.916
43217.375,1.915
43217.38542,1.917
43217.39583,1.919
43217.40625,1.915
43217.41667,1.917
43217.42708,1.917
43217.4375,1.915
43217.44792,1.913
43217.45833,1.909
43217.46875,1.913
43217.47917,1.91
43217.48958,1.918
43217.5,1.912
43217.51042,1.912
43217.52083,1.917
43217.53125,1.919
43217.54167,1.92
43217.55208,1.92
43217.5625,1.917
43217.57292,1.917
43217.58333,1.921
43217.59375,1.921
43217.60417,1.92
43217.61458,1.919
43217.625,1.925
43217.63542,1.925
43217.64583,1.924
43217.65625,1.926
43217.66667,1.93
43217.67708,1.935
43217.6875,1.93
43217.69792,1.928
43217.70833,1.931
43217.71875,1.932
43217.72917,1.929
43217.73958,1.923
43217.75,1.925
43217.76042,1.928
43217.77083,1.926
43217.78125,1.921
43217.79167,1.922
43217.80208,1.925
43217.8125,1.923
43217.82292,1.921
43217.83333,1.927
43217.84375,1.919
43217.85417,1.924
43217.86458,1.917
43217.875,1.922
43217.88542,1.929
43217.89583,1.92
43217.90625,1.925
43217.91667,1.918
43217.92708,1.917
43217.9375,1.916
43217.94792,1.917
43217.95833,1.92
43217.96875,1.928
43217.97917,1.918
43217.98958,1.925
43218,1.924
43218.01042,1.924
43218.02083,1.928
